
testing sgemm( 'N', 'N', n, n, n, ... )

   n   CUBLAS,Gflop/s   we,Gflop/s   "error"
   64       22.97          12.61        0
  128       40.94          51.73        0
  192      100.26         101.37        0
  256       97.20          98.01        0
  320      120.21         120.92        0
  384      126.81         125.59        0
  448      132.74         132.28        0
  512      136.32         132.46        0
  576      135.26         140.52        0
  704      138.64         139.08        0
  832      156.95         138.04        0
  960      139.01         139.58        0
 1088      141.96         172.23        0
 1216      142.39         142.22        0
 1408      142.33         143.02        0
 1600      143.17         143.08        0
 1792      143.69         192.88        0
 1984      143.02         143.77        0
 2240      164.13         143.80        0
 2496      143.48         143.55        0
 2816      161.37         176.05        0
 3136      143.76         165.94        0
 3520      185.63         180.48        0
 3904      189.89         162.13        0

testing sgemm( 'N', 'T', n, n, n, ... )

   n   CUBLAS,Gflop/s   we,Gflop/s   "error"
   64       22.87          12.82        0
  128       40.74          51.19        0
  192      101.35         102.00        0
  256       98.56          99.11        0
  320      122.89         122.78        0
  384      128.55         127.23        0
  448      134.89         133.69        0
  512      133.56         138.56        0
  576      141.31         136.77        0
  704      150.16         139.81        0
  832      137.56         138.31        0
  960      139.53         139.73        0
 1088      142.25         148.80        0
 1216      142.20         143.25        0
 1408      142.83         142.88        0
 1600      142.78         143.60        0
 1792      142.23         141.73        0
 1984      143.83         143.91        0
 2240      186.56         170.33        0
 2496      143.83         143.89        0
 2816      157.43         173.14        0
 3136      184.27         163.58        0
 3520      180.04         177.53        0
 3904      166.91         193.43        0
